己喊,唱捞,俊呈瘤(kcal),窜归龙(g),藕荐拳拱(g),寸幅(g),侥捞级蜡(g),瘤规(g),唱飘俘(mg),眉吝,脚厘,眉吝函拳,脚眉劝悼瘤荐
咯己,38,1946,96.35,224.49,46.96,10.2,62.14,2976,56.9,158.9,2,1
巢己,26,1968,99.52,224.06,39.32,27.2,42.8,3633,85.9,181.8,4.9,4
巢己,22,1598,65.13,223.9,73.96,14.5,49.1,3059,59.2,167.5,0.7,2
巢己,27,2096,87.59,223.88,14.56,15.5,93.92,4485,90.2,175.4,6.95,3
巢己,34,1758,61.22,223.33,64.25,16.9,71.16,3821,68.4,170.4,-0.9,1
咯己,31,1266,36.07,223.18,65.25,23.7,29.7,1511,51.3,165.1,-2.7,2
咯己,33,1591,75.31,222.64,69.97,10,43.55,2371,59.9,144.9,-3.1,2
巢己,32,1860,98.96,222.32,49.63,14.3,43.4,2853,79.5,178.4,0.75,2
巢己,29,1315,51.57,222.08,57.84,17.8,23.1,2261,81,166.7,4.5,4
咯己,29,1588,72.95,221.7,40.22,12.5,43.75,3740,50.9,157.1,2.3,2
咯己,26,2098,98.95,221.46,129.37,12.2,75.67,3460,42.6,155.3,-0.6,3
咯己,25,1461,39.19,221.11,92.94,19.8,49.97,1973,47.1,162.9,-1.95,3
咯己,31,1710,87,221.07,103.33,16.7,56.08,2517,48.9,153.9,1.65,2
咯己,31,2107,137.94,221.04,75.26,21.5,73.73,6853,50.6,156.2,-2.05,2
咯己,27,1593,79.89,220.69,103.93,11.3,44.59,2767,71.3,151.2,13.25,3
咯己,39,1374,41.78,220.08,58.22,22.8,38.87,2464,63.4,157.4,-4.1,3
咯己,32,1857,94.43,219.9,32.79,14.8,64.19,4475,56.6,159.2,0.35,2
咯己,34,2660,109.88,219.9,130.97,16.6,152.34,4900,64.8,160.1,7.2,2
巢己,25,1608,68.82,219.36,79.19,9.7,50.28,2973,51.7,169.9,-2.3,3
咯己,34,1312,36.11,219.32,85.86,13.5,36.82,1881,66.3,146.1,3.3,3
咯己,19,1459,38.32,218.92,118.42,25.5,53.4,1402,42.3,164.2,0.45,3
咯己,34,1695,58.32,217.82,82.85,17.3,65.94,2447,88.3,153.8,5.5,2
巢己,32,2087,67.53,217.8,83.83,23.1,85.86,2861,71.6,170,-0.4,4
咯己,39,1843,60.99,216.93,73.02,14.5,85.34,2499,63.9,164.6,0.9,2
咯己,28,2002,63.44,216.91,69.6,13.7,100.02,3398,60.7,159.7,2.2,4
巢己,32,1705,82.73,216.71,108.2,44.5,64.79,3010,75.4,176.4,1.15,3
巢己,24,2262,81.15,216.67,72.65,10.8,120.55,6310,74.4,164.3,2.4,3
巢己,30,1625,87.39,215.6,78.66,12.3,46.51,7119,64,167.9,1,1
咯己,33,1414,43.4,215.53,71,25.9,47.05,1682,71.5,153.1,-2.75,3
巢己,27,1325,86.13,213.7,19.02,4.2,11.41,3032,77.5,169.2,4.6,3
巢己,30,2086,183.93,213.27,42.35,25.1,52.37,7858,65.7,174.7,-1.8,3
巢己,31,2810,123.15,213.19,55.54,13.1,96.91,5867,88.7,167.2,12.2,3
咯己,19,2078,95.95,213.07,145.43,9.1,95.02,2769,53.7,153.7,-0.3,3
咯己,26,2053,55.76,212.96,105.06,22.7,114.38,1528,50.1,155.9,0.6,3
咯己,29,2441,90.19,212.95,78.61,12.3,111.66,3611,98.5,167.3,13,1
巢己,27,1669,95.53,211.83,71.52,32.4,53.3,4753,89,169.6,-3.25,2
巢己,23,1565,31.88,208.97,59.44,9.4,60.39,2216,76.8,174.1,4.8,2
咯己,29,1767,109.87,208.21,97,13.2,55.7,3235,63.7,159.3,7.45,3
咯己,30,1959,90.43,207.48,73.7,15.1,87,4404,49.1,161.2,-0.4,1
咯己,29,1305,62.81,207.36,72.44,20.4,27.23,2584,53.4,160.8,2.1,3
巢己,25,1610,55.35,207.06,70.07,15.5,66.27,2352,63.4,162.5,-5,2
巢己,19,1300,45.85,206.91,46.58,8.8,33.61,3647,55.2,170.6,8.85,3
巢己,19,1500,57.59,206.58,29.12,14.5,50.68,2804,75.6,176.5,1.35,3
巢己,27,2239,109.67,206.31,39.78,10,65.62,5279,64.7,169.2,1.7,3
咯己,28,2433,120.57,206,89.25,39.6,133.16,4708,70.1,157.8,-4.15,3
巢己,32,1506,43.9,205.54,14.99,29,36.61,2486,73.8,174.7,-3.6,4
咯己,31,1626,47.09,205.26,65.83,12.4,72.17,2390,50.7,161.6,-0.6,1
咯己,36,1450,70.52,205.18,70.86,22.8,41.2,2213,89.3,154.7,8.3,3
巢己,26,1357,44.01,204.65,45.12,16.2,41,2147,66.9,166.9,3.9,3
咯己,29,1676,140.42,204.4,55.54,14.2,31.18,6266,49.2,157,3.3,3
咯己,37,1519,104.7,203.98,54.6,14.9,31.27,4821,50.1,152.2,2.85,2
咯己,30,1873,93.11,203.36,90.94,16.1,76.38,2469,76.3,156,8.8,1
咯己,27,2847,122,203.11,105.76,5.5,97.92,3085,52.1,161.6,0.35,3
咯己,26,1486,33.92,201.5,121.2,13.8,66.27,2488,43.6,160.4,-0.5,1
巢己,36,2375,70.89,201.49,95.13,23.8,151.41,2552,60.7,164,-0.05,2
咯己,34,1898,86.25,201.45,64.99,11,82.43,2977,46.9,159.3,0.1,4
巢己,26,1214,39.5,201.23,28.79,13.6,29.16,2196,78.1,178.1,0.25,2
咯己,19,1800,65.64,201,63.73,8.8,80.39,3658,88.1,161.1,16.1,2
咯己,23,1516,64.18,200.62,66.1,14.1,51.8,3357,49.4,160.1,0.8,3
咯己,24,1365,54.73,200.61,51.55,18.4,38.23,2790,52.2,162.6,4.5,3
咯己,21,1793,39,200.39,83.91,12.1,92.55,2681,88.5,154.2,3,1
巢己,31,2075,104.75,200,14.85,16.9,79.39,3740,92.4,169.5,1.5,3
巢己,19,1498,75.3,199.41,101.8,8.9,43.74,1659,76.1,168.7,8.6,2
咯己,38,2171,35.07,198.96,23.26,21.5,80.05,2450,68.8,161.9,-3.2,2
咯己,28,1588,79.29,198.56,60.31,20.8,55.59,4811,52.9,159.4,0.7,2
巢己,31,2152,90.13,198.1,70.63,10.9,114.1,5087,72.9,168.6,3.15,3
巢己,32,1882,130.95,197.84,69.22,9.9,60.96,3080,81.5,173.1,2.75,2
咯己,27,1700,72.16,197.66,49.94,11.7,69.5,3545,54.1,152.6,-0.8,3
咯己,38,1386,70.74,197.23,82.13,20.4,39.12,2806,56.8,158.3,1,2
咯己,26,1357,55.38,196.28,87.92,13.4,40.78,5886,49.2,157.3,4.2,3
巢己,24,1097,27.82,195.84,43.18,10.6,25.09,3662,63.6,175.7,-0.75,3
咯己,33,2192,149.37,195.79,79.29,33.2,95.8,2234,63.2,153.9,4.7,3
巢己,34,1887,105.37,195.74,51.39,17.8,78.77,6003,71.1,173.6,-5.4,2
咯己,26,1283,39.31,195.68,65.05,10.6,38.72,1914,59.7,154.4,-1.95,1
巢己,38,1221,42.35,195.06,81.03,11.8,29,2255,64.9,165.4,6.4,2
咯己,36,1494,72.53,193.94,78.16,10.4,48.68,3404,81.4,161,2.65,2
咯己,34,1168,37.82,192.77,93.3,15.2,29.63,1157,65.7,160.4,0.45,2
咯己,26,1356,42.4,192.27,30.61,15.7,48.15,3314,51.4,158.8,0.1,2
咯己,36,1888,53.23,191.48,60.62,9.2,77.14,2933,59.5,145.8,-3.5,3
咯己,26,1884,76.15,191.14,34.28,17.1,66.99,2753,47.8,154.6,-2.6,3
巢己,27,1372,44.34,191.11,23.93,24.9,46.98,1893,61.9,166.5,3.4,2
巢己,30,1456,65.04,191.1,28.87,23.2,49.06,3240,67.9,169,-1.85,3
巢己,34,2350,159.32,190.39,21.59,14.2,104,7476,73.2,172.7,-5.55,2
咯己,36,1209,55.06,189.75,32.07,11,25.72,4015,47.6,160.2,-0.1,2
巢己,20,2151,92.89,189.08,78.49,15.6,116.06,3966,86.8,174.3,3.55,2
咯己,31,1182,37.06,188.65,43.47,16.5,34.01,1646,71.3,161.4,6.95,3
咯己,28,1299,25.75,188.65,86.08,19.5,51.93,1750,68.9,168.3,5.9,2
咯己,35,1160,32.89,188.42,56.58,18.9,33.24,1851,53,167,-1.45,2
巢己,21,2046,85.27,187.97,39.97,10.1,53.93,2208,61.9,172.8,3.4,3
咯己,28,1267,42.32,187.48,33.32,16.9,37.8,2249,82.7,150.9,19.7,3
巢己,34,1599,87.24,187.48,72.51,11.3,51.81,3513,70.9,173.2,1.6,3
咯己,31,1214,46.23,185.23,98.54,15.8,33.68,2054,64.1,165.5,1.1,2
咯己,37,1523,62.55,185.05,56.09,29.9,60.34,2117,69.4,155.5,1,2
巢己,29,1626,84.51,184.61,6.58,7.8,57.99,3682,85.9,176.8,-4.1,2
巢己,38,1715,138.52,184.08,109.48,5,47.79,3051,69.8,170.4,6.8,2
巢己,25,1821,96.02,184.07,83.94,24.8,80.11,2700,71.1,171.9,8.1,2
咯己,33,1670,66.56,184.05,64.74,23.7,75.96,2062,54.9,163.3,2.25,3
咯己,27,2366,95.63,184.02,43.75,15.8,143.24,4250,74.8,153.8,7.3,3
巢己,28,1712,116.55,183.15,43.67,22.8,43.29,3304,70.2,168.5,0,3
咯己,25,1988,94.36,183.01,39.7,11.6,98.35,3421,43.6,156.1,0.85,3
咯己,37,1653,53.96,182.72,74.28,11.9,78.37,2373,55.7,168.7,1.7,1
巢己,33,1238,34.87,181.99,51.92,30.6,43.75,1523,84.7,181.5,1.9,3
巢己,28,2116,86.08,180.72,110.38,26.1,123.63,4717,62.1,162.5,2.25,4
巢己,38,1828,80.37,179.69,39.13,10.9,86.99,5186,90.1,172.4,6.85,3
咯己,30,2021,102.27,179.66,57.52,11.2,98.81,3509,69.1,151.6,3.85,3
咯己,27,1831,109.99,179.01,90.87,23.4,68.94,4621,56.9,160.3,-1.6,3
咯己,34,1373,50.46,178.9,16.71,9.9,51.1,3865,61.3,165.4,2.8,2
咯己,31,1111,26,178.61,54.83,12.6,33.18,2383,68.7,159.2,-3.3,2
巢己,31,1656,74.81,178.15,25.44,11.9,61.79,3131,81.1,173,1.9,3
咯己,26,1185,36.25,177.84,25.24,8.1,36.49,1827,68.6,158.6,5.6,2
巢己,22,1771,119.21,177.67,96.29,10.4,64.66,3472,65.1,177.2,-6.9,3
咯己,34,1125,41.23,177.04,36.52,22.7,28.54,2383,39.8,155.2,-7.45,2
咯己,20,1384,63.03,176.34,106.66,15.2,51.42,1184,73.6,163,-7.4,3
巢己,26,1753,64.75,176.12,65.74,16.9,91.72,2820,78.4,168.5,4.15,3
巢己,28,2513,285.83,175.42,52.01,48.7,80.46,7699,92.2,175.1,-9.05,4
咯己,38,1618,70.82,175.14,56.63,19.9,73.55,3294,69,170.6,2.4,3
巢己,22,1901,84.01,174.78,108.27,6.3,72.28,3272,67.4,170.4,-2.35,1
咯己,19,1628,116.66,174.47,96.21,12.1,53.28,4665,48.1,149.9,-5.9,2
咯己,37,1652,77.31,174.36,23.11,8.3,70.09,3182,57.8,153,-2.95,2
咯己,38,1694,91.28,173.91,45.72,19.7,72.31,3704,47.9,155.8,0.65,3
咯己,21,1330,64.93,173.31,37.52,10.4,42.43,5512,60.2,155.1,8.45,3
咯己,32,1632,55.4,173.03,80.76,17.6,69,2842,53.8,159.5,1.6,3
咯己,33,1092,33.2,172.31,57.09,21.7,32.57,1244,78.1,151.4,12.4,2
咯己,25,1760,147.86,172.05,52.95,8.2,51.26,4989,61.5,161.1,7.5,1
咯己,36,1735,73.49,170.81,45.66,11.9,84.53,3300,47.5,150.3,-0.2,3
咯己,38,1255,55.61,170.33,43.99,13.4,40.76,3569,60.7,163.3,4,3
咯己,19,1037,54.53,170.25,55.45,6.2,15.35,1521,50.2,153.6,0.7,3
咯己,30,1617,65.71,169.07,57.05,16.5,79.12,2807,57.9,165.1,3.45,2
咯己,23,1338,39.77,166.75,51.13,5.6,29.03,1918,52,158,0.25,2
咯己,26,1341,45.96,166.56,57.54,9.5,44.24,3747,60,171,0.6,3
咯己,33,1523,62.65,166.16,51.75,5.7,67.13,2326,58.1,164.3,-0.4,3
巢己,27,2140,89.44,165.75,18.4,13.2,94.96,4026,74.9,177.5,-3.85,3
咯己,29,1336,48.22,165.63,106.28,5.3,55.05,1848,86.1,166.7,-6.15,2
咯己,33,950,19.58,165.57,87.38,19.2,24.86,870,73,162.5,-3.5,2
巢己,25,1696,102.45,165.14,43.55,12.5,68.58,2688,63.3,168.7,0.3,3
咯己,35,1060,29.85,165.08,93.17,10.2,33.64,2479,61.6,153.5,0.85,3
咯己,20,1355,59.03,163.63,97.6,5,53.22,2130,39,154.2,-5.1,3
巢己,24,1492,65.92,163.23,53.92,10.8,64.35,3053,60.9,169.4,0.6,2
巢己,29,1652,88.37,163.21,38.32,9.9,62.01,3104,84.4,178.6,2.95,3
咯己,24,959,31.81,163.18,70.92,12.4,20.95,1185,54.1,161.3,-6.65,2
咯己,35,1966,83.03,162.73,31.15,13.6,109.13,6879,58.1,149.2,-4.9,2
咯己,31,1083,38.74,162.47,28.26,7.9,29.4,3106,90.6,168.7,0.6,3
咯己,22,1321,78.22,162.16,68.56,6.5,40,2412,62.7,176.9,-4.8,4
咯己,39,1124,34.94,162.08,49.71,25.6,39.71,1548,71.2,160.2,1.45,2
巢己,29,1267,51.07,162.04,66.49,9.3,47.3,1789,43.7,157,1.4,3
咯己,29,1620,58.8,161.52,88.72,4.6,81.48,2172,64.6,154.9,6.1,1
巢己,39,1554,82.21,161.32,31.58,14.5,65.25,7574,64.3,167.2,3.55,3
巢己,29,1555,85.3,160.85,68.77,6.6,54.48,2549,91.4,174.5,11.75,3
巢己,22,1563,49.12,160.65,48.42,9.5,80.71,2195,49.2,168.5,-2.1,1
巢己,25,1503,43.23,160.56,61.25,14.8,23.48,1335,53.9,160.6,-12.7,4
巢己,33,1573,75.96,160.33,42.83,12,70.82,3857,55.6,177.1,-0.65,2
咯己,31,1251,97.37,160.14,65.44,10.3,25.98,2048,62,158.9,5.75,3
巢己,25,1398,57.53,159.87,83.27,6,59.27,2357,58.7,159.2,0.2,2
巢己,19,1028,32.77,159.83,65.34,19.2,32.37,1949,71.4,176.3,3.9,3
咯己,32,993,43.11,159.75,24.68,5.9,17.27,2854,51.6,148.3,5.25,2
咯己,23,1342,56.77,159.6,58.74,12.7,53.84,2390,48.1,148.7,-2.3,3
巢己,36,1682,87.51,159.4,71.6,10.5,76.72,4034,86.4,173.1,-3.6,3
咯己,36,1223,57.01,159.16,90.27,25.6,44.59,1725,58.7,163.4,-1.6,3
咯己,34,1399,64.69,158.29,79.09,11,57.13,3889,65.9,160.6,9.65,3
巢己,30,1064,51.76,157.44,23.17,10.1,26.12,2201,88,178.3,1.6,3
咯己,24,1448,20.99,157.3,83.87,10.4,85.45,2065,50.4,169.6,-8.1,2
巢己,24,2650,164.84,156.23,59.69,13.3,77.95,3033,70.5,174.3,-1.5,3
咯己,31,1310,68.08,156.22,60.09,11.4,48.88,1733,53.1,150.8,2.7,3
巢己,26,1400,88.98,156.12,34.6,17.8,48.96,4291,79,185,-4.25,3
咯己,28,995,41.88,155.9,4.97,7.9,21.78,3415,49.2,160.9,0.6,2
咯己,34,1103,33.51,154.71,90.33,4,40.95,1792,40.9,158.3,1.3,2
咯己,34,1383,90.67,154.42,34.37,6.3,41.79,2608,50.9,158.5,0.05,3
咯己,24,1620,84.09,154.01,99.08,13.5,78.13,3619,52.5,163.9,0.75,2
巢己,33,1590,94.17,153.82,43.35,18.2,70.43,2280,92.2,173.1,13,4
咯己,32,1020,38.38,153.23,29.13,4.8,27.4,2842,46.5,157.7,-0.3,1
巢己,33,1165,46.95,152.05,30.54,23.5,43.31,3415,59,164.5,0.5,3
巢己,33,1221,79.32,151.36,23.2,15.7,32.71,2173,75.9,169,0.3,3
巢己,27,1304,105.34,150.27,36.98,3.4,29.33,2928,60.3,171.3,-2.25,2
咯己,34,1059,35,150.11,89.67,17,38.97,2278,48,154.3,2.1,3
巢己,26,2033,111.73,149.81,27.15,15.9,108.22,3805,71.1,175.6,-1.42E-14,2
巢己,37,1872,115.05,149.55,57.37,12.7,92.65,3125,83.2,174.1,2.2,3
巢己,22,1430,91,149.24,13.55,8.4,50.65,2913,71.2,172.7,6.85,2
咯己,37,990,40.69,147.47,37.06,11,28.19,2923,61.4,157.3,2,1
咯己,24,886,23.74,147.43,85.18,4.5,23.94,1712,51.8,158.4,-2.2,3
咯己,20,1498,67.09,147.29,39.85,20.4,63.98,3350,54.3,156.8,2.1,3
咯己,27,1137,35.42,147.18,88.69,2.5,45.19,1475,75,155.5,3,2
巢己,31,1045,32.05,146.96,37.95,4.3,37.09,1614,69.1,164.7,1.6,1
巢己,30,1063,27.8,146.83,54.1,5.8,41.13,1324,75.4,170.4,-5.6,4
咯己,25,1100,53.55,145.85,57.65,13.1,35.98,2140,87.5,151.5,11.9,2
巢己,24,1427,110.14,145.83,18.31,15,43.18,4574,62.2,183.8,-0.8,3
咯己,36,1090,50.83,145.68,61.88,15.3,39,2087,61.4,163,-6.1,2
巢己,28,1521,67.46,144.1,49.27,16.8,66.66,3350,90.1,178.4,0.1,4
巢己,33,1628,74.13,143.36,48.56,12.7,87.49,2130,77.7,182.6,0.3,1
咯己,34,1289,72.5,142.74,40.79,21.5,49.6,1957,51.9,157.4,-4.35,3
咯己,36,996,43.58,142,4.09,4.6,26.22,2363,60.8,155.9,4.55,2
巢己,25,1625,160.95,141.79,34.44,26.4,47.28,3632,80.2,178.5,9.55,2
咯己,38,879,33.81,141.73,58.22,17.6,21.97,1406,57.4,156.9,4.3,1
巢己,36,723,31.73,141.33,95.72,21.1,9.7,2288,71.1,173.9,-0.45,2
巢己,20,1285,61.85,140.98,53.01,9.1,52.79,2067,119.6,177.3,20.6,3
咯己,21,1377,56.73,140.79,44.42,15.6,67.13,2378,48.5,157.8,-3.25,2
巢己,19,1582,85.41,138.51,51.47,6.2,75.25,3174,62.8,175.8,-2.45,2
咯己,23,1310,54.82,136.77,83.57,18,67.07,2301,83.7,158.3,-3.6,2
咯己,19,810,36.16,136.44,26.93,5.5,12.73,2770,48.8,154.8,-2.95,3
咯己,32,1231,98.09,134.05,43.17,9.1,32.36,1940,73.8,159.6,10.8,4
咯己,23,1462,59.16,133.89,26.7,13.4,78.09,2824,72.1,166.4,-4.4,2
巢己,24,2144,228.49,133.64,37.52,10.7,76.75,5272,78.7,178.2,-2.3,2
咯己,23,1147,51.33,133.63,39.96,6.1,45.41,2638,50.7,160.7,3.45,2
咯己,22,1269,40.46,133.61,48.42,6.9,63.19,1840,51.2,161.6,6.2,2
咯己,27,1405,83.26,133.1,44.85,7.3,60.64,2895,44.3,152.6,1.1,3
咯己,30,1088,43.4,133,36.25,2.9,41.78,2041,55.4,154.6,3.65,3
巢己,32,1564,52.35,132.55,39.61,10.1,49.9,2109,98.1,194.7,-5.4,3
咯己,36,1475,43.92,132.16,25.77,9.5,87.75,2047,55.6,150,3.85,3
咯己,26,1521,100.76,132.16,43.68,25.9,68.07,2589,57.2,160.2,-0.85,2
咯己,37,1194,67.54,131.26,77.08,7.9,45.49,2588,61.9,146.5,12.4,2
咯己,27,1469,143.51,130.41,22.85,8.7,40.55,6015,65.4,159.6,14.55,3
咯己,27,1354,57.38,130.1,33.64,11.4,64.81,2366,48,152.5,0.75,2
巢己,37,1787,122.89,129.23,54.31,9.4,85.34,4627,76.9,169.3,-6.35,2
咯己,26,1317,80.88,128.9,51.12,9.3,52.31,3574,59.2,160.6,6.1,3
咯己,31,981,46.82,128.52,92.01,21.1,35.43,3809,46.3,158.8,-2.3,2
咯己,19,1217,47.38,128.42,53.17,6.7,58.13,1291,45.3,157.6,-1.05,2
巢己,23,1555,94.02,128.41,85.42,7.2,62.55,2927,99.6,172.4,19.5,3
咯己,25,1241,92.74,128.19,69.4,19.3,43.98,2240,52.4,159,-2.5,4
咯己,26,1375,90.92,127.98,31.46,12.9,57.9,3115,52.5,160.3,-0.6,2
巢己,32,1334,76.76,127.92,35.43,9.4,60.32,3482,86.7,167.7,5.7,2
巢己,29,944,22.16,125.45,48.2,19.6,44.82,1889,106.2,186.1,-0.9,3
巢己,21,1013,40.98,124.41,22.5,5.8,38.2,1476,70.4,167.2,2,3
巢己,29,897,33.21,123.76,41.74,6,21.61,1672,72.7,169.5,5.65,2
咯己,30,901,41.53,122.71,61.44,10.6,30.5,1366,53.2,159.4,1.45,3
咯己,33,999,43.53,120.29,50.22,14.6,39.72,1986,54.2,156.1,4.7,3
咯己,39,1677,48.8,119.94,21.18,13.1,85.41,2693,55.8,164.6,-6.3,3
巢己,32,3736,333.58,119.58,23.07,9.1,210.31,9892,76.6,176.4,-2.15,3
咯己,37,1204,81.15,119.41,26.12,7.9,44.7,2675,62,155.7,-14.5,2
巢己,22,1155,56.98,118.43,30.78,11.9,51.59,3179,98.8,179.2,-9.2,4
巢己,20,1347,102.56,118.32,46.88,11.4,51.51,6966,64.9,172.7,4.15,3
巢己,29,1443,60.3,118,13.39,10.5,83.63,4469,77.3,177.9,5.3,4
咯己,36,1960,118.26,117.37,59.58,9.9,113,3990,51.1,162.3,-0.65,3
巢己,19,1101,54.94,117.24,92.94,3.7,45.46,1228,80.2,175.5,-5.3,3
咯己,29,1464,76.57,114.73,71.88,9.7,81.71,2560,64,157.6,-8,2
咯己,29,851,15.05,114.67,47.37,3.9,37.42,955,50.2,153.8,-1.55,1
咯己,20,1080,39.4,113.73,46.5,5,52.05,1935,61.5,162.3,5.25,3
咯己,35,1376,34.34,112.14,45.79,12.9,87.02,1291,77.7,163.7,10.2,4
巢己,20,1032,71.48,112.1,18.37,7.3,32.25,3039,83,173.4,-7,3
咯己,37,1341,47.56,111.7,47.11,10.6,60.12,2354,52.2,154.6,1.8,3
咯己,24,985,64.62,111.38,14.39,9.2,31.38,3874,53.4,149.4,7.5,2
巢己,29,1650,76.11,110.64,16.35,5.2,90.84,9961,62.5,157.1,-1.4,3
咯己,38,601,8.36,109.9,68.78,2,15.42,570,72.3,149.2,-0.15,4
咯己,28,1274,76.74,108.65,48.68,12.8,42.18,1799,66.5,158.1,1.25,2
巢己,29,1046,59.96,108.13,9.49,6.3,42.15,2499,88.3,172.2,6.4,3
咯己,27,1050,65.55,107.32,21.42,2.7,37.82,2013,52.7,156.3,3.2,3
咯己,27,737,17.72,106.24,56.68,4,27.53,763,50.7,147.3,-3.3,1
巢己,25,1196,75.95,105.28,54.46,10.4,52.79,3501,77.2,180.8,-0.2,3
咯己,23,1072,19.25,105.07,50.84,13.6,35.66,1527,55.4,155.7,0.5,2
咯己,39,1140,66.25,105.03,18.28,5,48.83,2132,72.9,160.6,-5.85,1
巢己,31,1316,86.82,104.3,4.02,3.3,58.63,2112,63.1,173.9,0.1,2
咯己,30,845,56.1,104.24,48.51,3.2,21.1,4085,53.6,160.1,-0.4,3
咯己,20,736,40.89,104.14,23.81,14.2,20.21,1508,41.7,155.1,-1.05,3
咯己,20,971,29.76,103.72,48.35,9.3,50.19,2031,48.8,148.6,-1.6,2
咯己,23,953,44.84,102.73,41.47,8.4,40.63,983,63.8,154,-5.5,3
咯己,34,972,41.04,102.5,9.99,7.2,43.81,2294,71.8,156.4,-9.2,2
巢己,21,1033,68.55,100.69,17.8,13.2,40.28,2067,71.3,174.3,-0.7,3
咯己,21,1588,102.79,98.59,36.54,18,89.59,3077,52.4,157,-1.6,3
巢己,34,2005,152.52,96.58,18.9,17.2,114.02,4336,85.6,174.6,2.35,3
巢己,22,1244,100.27,96.54,64.66,8.2,49.32,3424,71.7,171.6,4.2,2
咯己,39,772,58.11,96.44,4.35,3.9,15.48,2982,50,153.8,5,3
巢己,21,936,66.76,95.61,40.33,2.4,28.17,1550,87.3,167.2,-4.95,1
咯己,39,818,54.65,94.86,19.24,6.3,23.82,2070,54.8,155.5,-5.95,2
巢己,20,1152,69.17,91.25,29.63,11,58.82,3843,68,172.1,3.65,3
巢己,39,951,73.9,91.24,18.95,5.3,30.71,3980,65.2,171.3,4.45,2
咯己,31,871,59.97,90.21,32.82,5,30.54,3413,60.7,160.9,3.1,2
咯己,20,863,49.38,89.19,4.86,4.2,34.37,2487,55.7,157,-2.8,4
咯己,38,927,37.68,87.12,17.09,8.2,48,2165,63.1,159.6,4.6,3
巢己,22,1090,59.32,84.74,3.75,3.6,55.52,2695,58.7,165.9,-1.6,2
咯己,28,912,21.3,82.49,33.1,19.3,57.39,1234,52.3,153.9,0.55,1
咯己,24,788,26.36,80.91,7.74,12.1,40.76,1013,57.1,152.9,3.1,3
巢己,20,1225,100.49,69.96,25.92,7.4,60.19,4136,64,167.9,5.5,3
咯己,30,678,17.28,64.1,28.58,2.6,19.54,951,44.5,149.2,-1.85,3
咯己,24,759,60.62,55.08,29.92,5,33.74,2128,50.4,153,0.9,3
巢己,31,1335,79.19,52.08,6.62,4.4,88.26,2630,62.1,166.9,-7.65,2
咯己,35,630,60.6,50.74,25.99,4.6,15.99,791,46.1,162.9,-1.15,3
巢己,22,1869,112.04,44.01,10.78,4.7,137.53,4933,91.9,174,-1.25,3
