己喊,唱捞,俊呈瘤(kcal),窜归龙(g),藕荐拳拱(g),寸幅(g),侥捞级蜡(g),瘤规(g),唱飘俘(mg),眉吝,脚厘,眉吝函拳,脚眉劝悼瘤荐
巢己,33,2495,60.61,319.75,129.82,19.8,111.09,4271,75.4,174,5.65,1
巢己,37,1830,54.36,319.7,74.19,19.8,37.91,3071,71.5,170.9,0.85,3
巢己,29,3063,211.05,318.49,86.98,32.1,104.65,6125,60.8,178.2,-1.3,3
巢己,39,3322,171.85,318.08,131.77,23.8,127.47,5326,97.1,174.1,0.35,3
咯己,39,2001,108.02,317.9,110.68,26,37.64,4079,47.6,155.5,-1.45,3
巢己,28,2520,89.52,317.38,107.63,15.1,66.57,5224,77.2,173.3,11.95,4
巢己,23,2444,84.3,316.72,114.6,16.5,95,4373,79.3,173.7,5.05,2
巢己,32,2457,105.1,316.17,171.97,18.7,78,3448,73.3,177.8,-0.95,3
咯己,36,2271,67.44,315.57,126.36,24.1,87.76,4474,65.7,162.4,0.45,2
咯己,34,1843,47.16,315.39,71.05,30.9,46.53,3221,58.3,154.4,6.55,3
巢己,22,4147,142.96,314.46,116.96,32.2,113.7,4018,78.4,179.4,1.9,3
巢己,24,2683,76.93,313.26,106.1,12.2,97.71,4255,79.6,164.2,-10.4,3
咯己,30,2274,122.42,310.55,69.14,26,65.11,6704,59.4,155.5,14.4,4
咯己,34,2396,142.4,309.5,47.51,15.4,61.54,13753,52.2,147.5,-0.45,4
咯己,37,2091,86.55,309.04,118.4,21,62.6,3292,51,165.6,-0.3,2
咯己,22,1855,85.59,308.94,78.2,14.3,27.63,2626,47.2,150.7,-1.4,1
巢己,33,2121,86.42,308.68,117.83,23.2,65.08,4368,85.7,162.7,0.2,2
巢己,33,2327,98.64,308.46,78.25,26.8,77.33,5086,66.4,172.4,-5.6,2
咯己,27,2278,62.37,307.97,142.54,11.9,92.38,3318,47.8,160.1,-1.7,2
咯己,39,2767,158.73,307.17,45.37,22.2,86.67,12045,49.7,154.3,3.35,4
巢己,33,2108,57.96,306.96,130.23,11.7,73.54,2922,112.4,185.2,8,4
咯己,37,1809,62.51,306.81,73.17,23.8,39.54,4372,62.7,159.3,6.45,2
咯己,31,1905,62.82,306.25,106.44,23.1,52.18,5627,57.5,167.2,2.15,2
咯己,36,3030,129.76,304.81,118.83,10.7,123.73,8064,46.9,162,-2.6,2
